file,title,date,category,url
issue000.md,Issue 0: Why write a newsletter?,"Dec. 8, 2018, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-0-why-write-a-newsletter/
issue001.md,Issue 1: Why make an app?,"Dec. 15, 2018, 7 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-1-why-make-an-app/
issue002.md,Issue 2: Don’t reinvent the wheel,"Dec. 22, 2018, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-2-dont-reinvent-the-wheel/
issue003.md,Issue 3: What is all this clutter?,"Dec. 29, 2018, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-3-what-is-all-this-clutter/
issue004.md,Issue 4: What is an API?,"Jan. 5, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-4-what-is-an-api/
issue005.md,Issue 5: What is JSON?,"Jan. 12, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-5-what-is-json/
issue006.md,Issue 6: How do you use an API?,"Jan. 19, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-6-how-do-you-use-an-api/
issue007.md,Issue 7: What is HTTP?,"Jan. 26, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-7-what-is-http/
issue008.md,Issue 8: HTTP error codes—How does a server let the client know if there’s something wrong with their HTTP request?,"Feb. 2, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-8-http-error-codeshow-does-a-server-let/
issue009.md,Issue 9: How do I make an HTTP request?,"Feb. 9, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-9-how-do-i-make-an-http-request/
issue010.md,Issue 10: How do websites actually know if you are really you?,"Feb. 16, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-10-how-do-websites-actually-know-if-you/
issue011.md,Issue 11: How does wifi work?,"Feb. 23, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-11-how-does-wifi-work/
issue012.md,Issue 12: What is HTTPS? How is it different from HTTP?,"March 1, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-12-what-is-https-how-is-it-different/
issue013.md,Issue 13: How do I use HTTPS?,"March 9, 2019, 8 a.m.",Season 1,https://buttondown.email/laymansguide/archive/lmg-issue-13-how-do-i-use-https/
issue014.md,Issue 14: What do developers do?,"March 16, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-14-what-do-developers-do/
issue015.md,Issue 15: Sysadmins and the command line,"March 23, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-15-sysadmins-and-the-command-line/
issue016.md,Issue 16: Shell scripts and automation,"March 30, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-16-shell-scripts-and-automation/
issue017.md,Issue 17: Libraries,"April 6, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-17-libraries/
issue018.md,Issue 18: Frameworks,"April 13, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-18-frameworks/
issue019.md,Issue 19: Version control and git,"April 20, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-19-version-control-and-git/
issue020.md,Issue 20: Testing,"April 27, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-20-testing/
issue021.md,Issue 21: Forking and merging,"May 4, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-21-forking-and-merging/
issue022.md,Issue 22: Continuous Integration in software,"May 11, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-22-continuous-integration-in-software/
issue023.md,Issue 23: Specifications in software,"May 18, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-23-specifications-in-software/
issue024.md,"Issue 24: Issue trackers, Bug trackers","May 25, 2019, 1:18 p.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-24-issue-trackers-bug/
issue025.md,Issue 25: Text Editors and Integrated Development Environments,"June 1, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-25-text-editors-and-integrated/
issue026.md,Issue 26: Software distribution,"June 15, 2019, 8 a.m.",Season 2,https://buttondown.email/laymansguide/archive/lmg-s2-issue-26-software-distribution/
issue027.md,Issue 27: What is an IP address?,"June 29, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-27-what-is-an-ip-address/
issue028.md,Issue 28: Domain Names and DNS,"July 6, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-28-domain-names-and-dns/
issue029.md,Issue 29: How to resolve a hostname,"July 13, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-29-how-to-resolve-a-hostname/
issue030.md,Issue 30: Private IP Addresses,"July 20, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-30-private-ip-addresses/
issue031.md,Issue 31: Getting a private IP address: DHCP (and DDNS),"July 27, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-31-getting-a-private-ip-address-dhcp/
issue032.md,Issue 32: Sharing a public IP address: Network Address Traversal,"Aug. 3, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-32-sharing-a-public-ip-address/
issue033.md,Issue 33: Port numbers,"Aug. 10, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-33-port-numbers/
issue034.md,Issue 34: Firewalls,"Aug. 17, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-34-firewalls/
issue035.md,Issue 35: Virtual Private Networks (VPNs),"Aug. 24, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-35-virtual-private-networks-vpns/
issue036.md,Issue 36: Latency,"Aug. 31, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-36-latency/
issue037.md,Issue 37: Traceroute–Google Maps for data packets,"Sept. 7, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-37-traceroute-google-maps-for-data/
issue038.md,Issue 38: Loading a web page,"Sept. 14, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-38-loading-a-web-page/
issue039.md,Issue 39: Caches and caching,"Sept. 21, 2019, 8 a.m.",Season 3,https://buttondown.email/laymansguide/archive/lmg-s3-issue-39-caches-and-caching/
issue040.md,Issue 40: Bits and bytes,"Sept. 28, 2019, 8 a.m.",Season 4,https://buttondown.email/laymansguide/archive/lmg-s4-issue-40-bits-and-bytes/
issue041.md,"Issue 41: ASCII, the typewriter digitised","Oct. 5, 2019, 8 a.m.",Season 4,https://buttondown.email/laymansguide/archive/lmg-s4-issue-41-ascii-the-typewriter-digitised/
